id,name,season,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
668674,Lucas Erceg,2024,29,61,0,60,50,26,10,1,3,72,16,2,49,6,.212,231,.281,.303,.584,0,0,.---,.---,4,947,3.36,61.2,2,6,14,19,18,5,23,1.05,253,185,61,0,0,616,.650,6,1,5,0,70,1.20,.250,15.36,16,4.50,10.51,2.34,7.15,3.79,0.44,22,4,0,0,0
668674,Lucas Erceg,2025,30,61,0,68,57,19,9,1,4,48,18,3,54,4,.238,227,.305,.339,.644,0,3,1.000,.000,7,963,2.64,61.1,8,4,2,7,22,5,18,1.17,249,184,61,0,0,613,.640,4,0,3,2,77,1.19,.667,15.70,10,2.67,7.04,2.64,7.92,2.79,0.59,19,4,0,0,0
668674,Lucas Erceg,2026,31,13,0,13,9,7,3,0,0,10,10,0,10,0,.238,42,.385,.310,.695,1,0,.000,1.000,2,229,4.38,12.1,2,1,7,9,1,2,6,1.62,52,37,13,0,0,133,.580,0,0,1,2,13,1.44,.667,18.57,11,1.00,7.30,7.30,7.30,5.11,0.00,2,0,0,0,0
668941,JoJo Romero,2020,23,12,0,13,7,10,3,0,1,10,2,0,13,2,.310,42,.370,.452,.822,0,0,.---,.---,2,170,7.59,10.2,0,0,0,1,4,1,9,1.41,47,32,12,0,0,112,.660,2,0,0,0,19,1.86,.---,15.94,2,5.00,8.44,1.69,10.97,8.44,0.84,9,3,0,1,0
668941,JoJo Romero,2021,24,11,0,13,6,8,2,0,4,8,4,1,12,1,.308,39,.386,.667,1.053,0,0,.---,.---,3,171,7.00,9.0,0,0,0,0,3,0,7,1.78,44,27,11,0,0,111,.650,1,0,0,0,26,2.17,.---,19.00,1,2.00,8.00,4.00,12.00,8.00,4.00,6,5,0,0,0
668941,JoJo Romero,2022,25,2,0,4,0,3,0,0,1,1,1,0,4,0,.444,9,.500,.778,1.278,0,0,.---,.---,1,34,13.50,2.0,0,0,0,0,0,0,3,2.50,10,6,2,0,0,19,.560,0,0,0,0,7,4.00,.---,17.00,1,1.00,4.50,4.50,18.00,13.50,4.50,0,0,0,0,0
668941,JoJo Romero,2022,25,15,0,15,8,6,2,0,2,16,9,0,9,0,.191,47,.321,.362,.683,1,0,.000,1.000,4,237,3.77,14.1,0,0,0,0,0,0,6,1.26,57,43,15,0,0,138,.580,0,0,0,1,17,1.88,.---,16.53,4,1.78,10.05,5.65,5.65,3.77,1.26,8,1,0,1,0
668941,JoJo Romero,2022,25,17,0,19,8,9,2,0,3,17,10,0,13,0,.232,56,.348,.429,.777,1,0,.000,1.000,5,271,4.96,16.1,0,0,0,0,0,0,9,1.41,67,49,17,0,0,157,.580,0,0,0,1,24,2.38,.---,16.59,5,1.70,9.37,5.51,7.16,4.96,1.65,8,1,0,1,0
668941,JoJo Romero,2023,26,27,0,44,21,17,4,2,1,42,10,0,29,1,.216,134,.274,.299,.573,1,0,.000,1.000,5,548,3.68,36.2,4,2,3,5,3,2,15,1.06,147,110,27,0,0,366,.670,1,0,2,0,40,2.10,.667,14.95,13,4.20,10.31,2.45,7.12,4.17,0.25,23,8,0,1,1
668941,JoJo Romero,2024,27,65,0,68,51,23,11,0,8,51,16,0,52,5,.236,220,.302,.395,.697,2,1,.333,.667,5,919,3.36,59.0,7,3,1,9,30,8,22,1.15,243,177,65,0,0,577,.630,5,0,1,0,87,1.33,.700,15.58,7,3.19,7.78,2.44,7.93,3.51,1.22,34,10,0,1,1
