player_id,game_id,team_side,team_name,opponent_pitcher_name,opponent_pitcher_hand,batter_bat_side,lineup_position,batting_order_raw,batter_bats_left,batter_bats_right,batter_switch_hitter,pitcher_throws_left,platoon_advantage
646240,823232,home,San Francisco Giants,Sandy Alcantara,,,0,,0,0,0,0,0
518585,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
678394,824854,away,Boston Red Sox,Brandon Young,,,0,,0,0,0,0,0
691799,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
691023,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
694497,822909,home,Texas Rangers,Luis Severino,,,0,,0,0,0,0,0
669127,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
663574,824529,home,Cincinnati Reds,Framber Valdez,,,0,,0,0,0,0,0
624512,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
677592,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
660761,824932,home,Atlanta Braves,Andrew Painter,,,0,,0,0,0,0,0
669620,822909,away,Athletics,Nathan Eovaldi,,,0,,0,0,0,0,0
687957,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
671056,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
608348,823962,away,Chicago Cubs,Emmet Sheehan,,,0,,0,0,0,0,0
661388,823800,home,Milwaukee Brewers,Paul Skenes,,,0,,0,0,0,0,0
660162,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
665926,822827,home,Toronto Blue Jays,Gavin Williams,,,8,800,0,0,0,0,0
676440,822827,away,Cleveland Guardians,Max Scherzer,,,0,,0,0,0,0,0
663767,824932,away,Philadelphia Phillies,Grant Holmes,,,0,,0,0,0,0,0
699823,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
669276,824932,home,Atlanta Braves,Andrew Painter,,,0,,0,0,0,0,0
665877,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
516782,824124,home,Kansas City Royals,Yusei Kikuchi,,,5,500,0,0,0,0,0
673929,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
641793,824611,away,Washington Nationals,Bryan Hudson,,,0,,0,0,0,0,0
669326,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
677942,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
608070,822827,away,Cleveland Guardians,Max Scherzer,,,0,,0,0,0,0,0
605135,824854,home,Baltimore Orioles,Brayan Bello,,,0,,0,0,0,0,0
641302,822909,home,Texas Rangers,Luis Severino,,,0,,0,0,0,0,0
695020,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
677956,824529,home,Cincinnati Reds,Framber Valdez,,,8,800,0,0,0,0,0
660688,824611,away,Washington Nationals,Bryan Hudson,,,0,,0,0,0,0,0
641598,823069,away,Seattle Mariners,Andre Pallante,,,0,,0,0,0,0,0
666176,824124,away,Los Angeles Angels,Noah Cameron,,,0,,0,0,0,0,0
663757,824204,away,New York Yankees,Lance McCullers Jr.,,,0,,0,0,0,0,0
682985,824529,away,Detroit Tigers,Andrew Abbott,,,0,,0,0,0,0,0
676467,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
573262,824932,home,Atlanta Braves,Andrew Painter,,,9,900,0,0,0,0,0
689414,823232,away,Miami Marlins,Adrian Houser,,,0,,0,0,0,0,0
682668,824611,home,Chicago White Sox,Miles Mikolas,,,0,,0,0,0,0,0
665966,824854,away,Boston Red Sox,Brandon Young,,,9,900,0,0,0,0,0
691026,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
681402,824611,away,Washington Nationals,Bryan Hudson,,,0,,0,0,0,0,0
696285,824611,away,Washington Nationals,Bryan Hudson,,,0,,0,0,0,0,0
642397,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
693304,823800,away,Pittsburgh Pirates,Brandon Woodruff,,,0,,0,0,0,0,0
670036,822827,away,Cleveland Guardians,Max Scherzer,,,0,,0,0,0,0,0
667472,824529,home,Cincinnati Reds,Framber Valdez,,,1,100,0,0,0,0,0
687363,823069,home,St. Louis Cardinals,George Kirby,,,0,,0,0,0,0,0
687911,824204,home,Houston Astros,Will Warren,,,0,,0,0,0,0,0
701719,824854,away,Boston Red Sox,Brandon Young,,,0,,0,0,0,0,0
656641,822909,home,Texas Rangers,Luis Severino,,,0,,0,0,0,0,0
669212,824124,home,Kansas City Royals,Yusei Kikuchi,,,0,,0,0,0,0,0
