player_id,player_name,position,lineup_position,batter_bat_side,opponent_pitcher_name,opponent_pitcher_hand,platoon_advantage,matchup_split_avg,matchup_split_ops,matchup_split_pa,away_team,home_team,game_datetime,p_hit
687637,Dylan Beavers,RF,5,,Peter Lambert,,0,0.27,0.72,0,Houston Astros,Baltimore Orioles,2026-04-30T16:35:00Z,0.5517900943756103
650859,Luis Rengifo,3B,6,,Michael Soroka,,0,0.27,0.72,0,Arizona Diamondbacks,Milwaukee Brewers,2026-04-30T17:40:00Z,0.5481427788734436
663886,Tyler Stephenson,C,6,,Michael Lorenzen,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.5463860392570495
650489,Willi Castro,2B,5,,Andrew Abbott,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.5413899660110474
683146,Brett Baty,RF,5,,Miles Mikolas,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5360781848430634
671277,Luis García,1B,2,,Freddy Peralta,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5279677212238312
668901,Mark Vientos,1B,4,,Miles Mikolas,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.525725394487381
657041,Lane Thomas,CF,3,,Jeffrey Springs,,0,0.27,0.72,0,Kansas City Royals,Athletics,2026-04-30T19:05:00Z,0.5257115066051483
687462,Spencer Horwitz,1B,6,,Hunter Dobbins,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.5255909621715545
691720,Kyle Karros,3B,7,,Andrew Abbott,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.5233486354351043
683083,Nasim Nuñez,2B,7,,Freddy Peralta,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5227015793323517
701675,Nathan Church,LF,7,,Paul Skenes,,0,0.27,0.72,0,St. Louis Cardinals,Pittsburgh Pirates,2026-04-30T16:35:00Z,0.5188176810741425
678391,Jorbit Vivas,3B,6,,Freddy Peralta,,0,0.27,0.72,0,Washington Nationals,New York Mets,2026-04-30T17:10:00Z,0.5102627635002136
686217,Sal Frelick,RF,7,,Michael Soroka,,0,0.27,0.72,0,Arizona Diamondbacks,Milwaukee Brewers,2026-04-30T17:40:00Z,0.5088635385036469
669003,Garrett Mitchell,CF,1,,Michael Soroka,,0,0.27,0.72,0,Arizona Diamondbacks,Milwaukee Brewers,2026-04-30T17:40:00Z,0.5067886233329773
686668,Brenton Doyle,CF,2,,Andrew Abbott,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.5038430154323578
666126,Carlos Cortes,RF,6,,Noah Cameron,,0,0.27,0.72,0,Kansas City Royals,Athletics,2026-04-30T19:05:00Z,0.4968078136444092
681481,Kerry Carpenter,RF,6,,Bryce Elder,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.49309262037277224
680728,Adrian Del Castillo,C,4,,Brandon Woodruff,,0,0.27,0.72,0,Arizona Diamondbacks,Milwaukee Brewers,2026-04-30T17:40:00Z,0.4894151270389557
681297,Colton Cowser,RF,7,,Peter Lambert,,0,0.27,0.72,0,Houston Astros,Baltimore Orioles,2026-04-30T16:35:00Z,0.47888228893280027
687597,Jordan Beck,LF,1,,Andrew Abbott,,0,0.27,0.72,0,Colorado Rockies,Cincinnati Reds,2026-04-30T16:40:00Z,0.4554381012916565
663837,Matt Vierling,CF,7,,Bryce Elder,,0,0.27,0.72,0,Detroit Tigers,Atlanta Braves,2026-04-30T16:15:00Z,0.44324967861175535
